name	type	units	low_cutoff	high_cutoff	sampling_frequency
O1	SEEG	muV	n/a	n/a	499.5
O2	SEEG	muV	n/a	n/a	499.5
O3	SEEG	muV	n/a	n/a	499.5
O4	SEEG	muV	n/a	n/a	499.5
O5	SEEG	muV	n/a	n/a	499.5
O6	SEEG	muV	n/a	n/a	499.5
O7	SEEG	muV	n/a	n/a	499.5
O8	SEEG	muV	n/a	n/a	499.5
O9	SEEG	muV	n/a	n/a	499.5
O10	SEEG	muV	n/a	n/a	499.5
O11	SEEG	muV	n/a	n/a	499.5
O12	SEEG	muV	n/a	n/a	499.5
O13	SEEG	muV	n/a	n/a	499.5
O14	SEEG	muV	n/a	n/a	499.5
O15	SEEG	muV	n/a	n/a	499.5
F1	SEEG	muV	n/a	n/a	499.5
F2	SEEG	muV	n/a	n/a	499.5
F3	SEEG	muV	n/a	n/a	499.5
F4	SEEG	muV	n/a	n/a	499.5
F5	SEEG	muV	n/a	n/a	499.5
F6	SEEG	muV	n/a	n/a	499.5
F7	SEEG	muV	n/a	n/a	499.5
F8	SEEG	muV	n/a	n/a	499.5
F9	SEEG	muV	n/a	n/a	499.5
F10	SEEG	muV	n/a	n/a	499.5
F11	SEEG	muV	n/a	n/a	499.5
F12	SEEG	muV	n/a	n/a	499.5
B1	SEEG	muV	n/a	n/a	499.5
B2	SEEG	muV	n/a	n/a	499.5
B3	SEEG	muV	n/a	n/a	499.5
B4	SEEG	muV	n/a	n/a	499.5
B5	SEEG	muV	n/a	n/a	499.5
B6	SEEG	muV	n/a	n/a	499.5
B7	SEEG	muV	n/a	n/a	499.5
B8	SEEG	muV	n/a	n/a	499.5
B9	SEEG	muV	n/a	n/a	499.5
B10	SEEG	muV	n/a	n/a	499.5
B11	SEEG	muV	n/a	n/a	499.5
B12	SEEG	muV	n/a	n/a	499.5
B13	SEEG	muV	n/a	n/a	499.5
B14	SEEG	muV	n/a	n/a	499.5
B15	SEEG	muV	n/a	n/a	499.5
AC1	SEEG	muV	n/a	n/a	499.5
AC2	SEEG	muV	n/a	n/a	499.5
AC3	SEEG	muV	n/a	n/a	499.5
AC4	SEEG	muV	n/a	n/a	499.5
AC5	SEEG	muV	n/a	n/a	499.5
AC6	SEEG	muV	n/a	n/a	499.5
AC7	SEEG	muV	n/a	n/a	499.5
AC8	SEEG	muV	n/a	n/a	499.5
AC9	SEEG	muV	n/a	n/a	499.5
AC10	SEEG	muV	n/a	n/a	499.5
AC11	SEEG	muV	n/a	n/a	499.5
AC12	SEEG	muV	n/a	n/a	499.5
AC13	SEEG	muV	n/a	n/a	499.5
AC14	SEEG	muV	n/a	n/a	499.5
AC15	SEEG	muV	n/a	n/a	499.5
A1	SEEG	muV	n/a	n/a	499.5
A2	SEEG	muV	n/a	n/a	499.5
A3	SEEG	muV	n/a	n/a	499.5
A4	SEEG	muV	n/a	n/a	499.5
A5	SEEG	muV	n/a	n/a	499.5
A6	SEEG	muV	n/a	n/a	499.5
A7	SEEG	muV	n/a	n/a	499.5
A8	SEEG	muV	n/a	n/a	499.5
A9	SEEG	muV	n/a	n/a	499.5
A10	SEEG	muV	n/a	n/a	499.5
A11	SEEG	muV	n/a	n/a	499.5
A12	SEEG	muV	n/a	n/a	499.5
D1	SEEG	muV	n/a	n/a	499.5
D2	SEEG	muV	n/a	n/a	499.5
D3	SEEG	muV	n/a	n/a	499.5
D4	SEEG	muV	n/a	n/a	499.5
D5	SEEG	muV	n/a	n/a	499.5
D6	SEEG	muV	n/a	n/a	499.5
D7	SEEG	muV	n/a	n/a	499.5
D8	SEEG	muV	n/a	n/a	499.5
D9	SEEG	muV	n/a	n/a	499.5
D10	SEEG	muV	n/a	n/a	499.5
D11	SEEG	muV	n/a	n/a	499.5
D12	SEEG	muV	n/a	n/a	499.5
J1	SEEG	muV	n/a	n/a	499.5
J2	SEEG	muV	n/a	n/a	499.5
J3	SEEG	muV	n/a	n/a	499.5
J4	SEEG	muV	n/a	n/a	499.5
J5	SEEG	muV	n/a	n/a	499.5
J6	SEEG	muV	n/a	n/a	499.5
J7	SEEG	muV	n/a	n/a	499.5
J8	SEEG	muV	n/a	n/a	499.5
J9	SEEG	muV	n/a	n/a	499.5
J10	SEEG	muV	n/a	n/a	499.5
J11	SEEG	muV	n/a	n/a	499.5
J12	SEEG	muV	n/a	n/a	499.5
S1	SEEG	muV	n/a	n/a	499.5
S2	SEEG	muV	n/a	n/a	499.5
S3	SEEG	muV	n/a	n/a	499.5
S4	SEEG	muV	n/a	n/a	499.5
S5	SEEG	muV	n/a	n/a	499.5
S6	SEEG	muV	n/a	n/a	499.5
S7	SEEG	muV	n/a	n/a	499.5
S8	SEEG	muV	n/a	n/a	499.5
S9	SEEG	muV	n/a	n/a	499.5
S10	SEEG	muV	n/a	n/a	499.5
S11	SEEG	muV	n/a	n/a	499.5
S12	SEEG	muV	n/a	n/a	499.5
W1	SEEG	muV	n/a	n/a	499.5
W2	SEEG	muV	n/a	n/a	499.5
W3	SEEG	muV	n/a	n/a	499.5
W4	SEEG	muV	n/a	n/a	499.5
W5	SEEG	muV	n/a	n/a	499.5
W6	SEEG	muV	n/a	n/a	499.5
W7	SEEG	muV	n/a	n/a	499.5
W8	SEEG	muV	n/a	n/a	499.5
W9	SEEG	muV	n/a	n/a	499.5
W10	SEEG	muV	n/a	n/a	499.5
Y1	SEEG	muV	n/a	n/a	499.5
Y2	SEEG	muV	n/a	n/a	499.5
Y3	SEEG	muV	n/a	n/a	499.5
Y4	SEEG	muV	n/a	n/a	499.5
Y5	SEEG	muV	n/a	n/a	499.5
Y6	SEEG	muV	n/a	n/a	499.5
Y7	SEEG	muV	n/a	n/a	499.5
Y8	SEEG	muV	n/a	n/a	499.5
Y9	SEEG	muV	n/a	n/a	499.5
Y10	SEEG	muV	n/a	n/a	499.5
Y11	SEEG	muV	n/a	n/a	499.5
Y12	SEEG	muV	n/a	n/a	499.5
Y13	SEEG	muV	n/a	n/a	499.5
Y14	SEEG	muV	n/a	n/a	499.5
Y15	SEEG	muV	n/a	n/a	499.5
Z1	SEEG	muV	n/a	n/a	499.5
Z2	SEEG	muV	n/a	n/a	499.5
Z3	SEEG	muV	n/a	n/a	499.5
Z4	SEEG	muV	n/a	n/a	499.5
Z5	SEEG	muV	n/a	n/a	499.5
Z6	SEEG	muV	n/a	n/a	499.5
Z7	SEEG	muV	n/a	n/a	499.5
Z8	SEEG	muV	n/a	n/a	499.5
Z9	SEEG	muV	n/a	n/a	499.5
Z10	SEEG	muV	n/a	n/a	499.5
Z11	SEEG	muV	n/a	n/a	499.5
Z12	SEEG	muV	n/a	n/a	499.5
Z13	SEEG	muV	n/a	n/a	499.5
Z14	SEEG	muV	n/a	n/a	499.5
Z15	SEEG	muV	n/a	n/a	499.5
U1	SEEG	muV	n/a	n/a	499.5
U2	SEEG	muV	n/a	n/a	499.5
U3	SEEG	muV	n/a	n/a	499.5
U4	SEEG	muV	n/a	n/a	499.5
